id,branch,title,labels,summary
playwright-001,automation/playwright/checkout-sca-fallback-smoke,test(playwright): add smoke assertions for checkout SCA fallback,automation;playwright,Playwright checkout SCA fallback needs to extend smoke assertions
playwright-002,automation/playwright/checkout-multi-currency-smoke,test(playwright): add smoke assertions for checkout multi currency routing,automation;playwright,Playwright checkout multi currency routing needs to extend smoke assertions
playwright-003,automation/playwright/analytics-consent-smoke,test(playwright): add smoke assertions for analytics consent banner,automation;playwright,Playwright analytics consent banner needs to extend smoke assertions
playwright-004,automation/playwright/workspace-role-switch-smoke,test(playwright): add smoke assertions for workspace role switch,automation;playwright,Playwright workspace role switch needs to extend smoke assertions
playwright-005,automation/playwright/billing-upgrade-smoke,test(playwright): add smoke assertions for billing upgrade flow,automation;playwright,Playwright billing upgrade flow needs to extend smoke assertions
playwright-006,automation/playwright/project-archive-smoke,test(playwright): add smoke assertions for project archive restore,automation;playwright,Playwright project archive restore needs to extend smoke assertions
playwright-007,automation/playwright/incident-handoff-smoke,test(playwright): add smoke assertions for incident handoff form,automation;playwright,Playwright incident handoff form needs to extend smoke assertions
playwright-008,automation/playwright/alert-threshold-smoke,test(playwright): add smoke assertions for alert threshold editor,automation;playwright,Playwright alert threshold editor needs to extend smoke assertions
playwright-009,automation/playwright/workspace-theme-smoke,test(playwright): add smoke assertions for workspace theme selector,automation;playwright,Playwright workspace theme selector needs to extend smoke assertions
playwright-010,automation/playwright/reporting-export-smoke,test(playwright): add smoke assertions for reporting export wizard,automation;playwright,Playwright reporting export wizard needs to extend smoke assertions
playwright-011,automation/playwright/checkout-sca-fallback-retry-hardening,test(playwright): harden retry logic for checkout SCA fallback,automation;playwright,Playwright checkout SCA fallback needs to stabilize retries
playwright-012,automation/playwright/checkout-multi-currency-retry-hardening,test(playwright): harden retry logic for checkout multi currency routing,automation;playwright,Playwright checkout multi currency routing needs to stabilize retries
playwright-013,automation/playwright/analytics-consent-retry-hardening,test(playwright): harden retry logic for analytics consent banner,automation;playwright,Playwright analytics consent banner needs to stabilize retries
playwright-014,automation/playwright/workspace-role-switch-retry-hardening,test(playwright): harden retry logic for workspace role switch,automation;playwright,Playwright workspace role switch needs to stabilize retries
playwright-015,automation/playwright/billing-upgrade-retry-hardening,test(playwright): harden retry logic for billing upgrade flow,automation;playwright,Playwright billing upgrade flow needs to stabilize retries
playwright-016,automation/playwright/project-archive-retry-hardening,test(playwright): harden retry logic for project archive restore,automation;playwright,Playwright project archive restore needs to stabilize retries
playwright-017,automation/playwright/incident-handoff-retry-hardening,test(playwright): harden retry logic for incident handoff form,automation;playwright,Playwright incident handoff form needs to stabilize retries
playwright-018,automation/playwright/alert-threshold-retry-hardening,test(playwright): harden retry logic for alert threshold editor,automation;playwright,Playwright alert threshold editor needs to stabilize retries
playwright-019,automation/playwright/workspace-theme-retry-hardening,test(playwright): harden retry logic for workspace theme selector,automation;playwright,Playwright workspace theme selector needs to stabilize retries
playwright-020,automation/playwright/reporting-export-retry-hardening,test(playwright): harden retry logic for reporting export wizard,automation;playwright,Playwright reporting export wizard needs to stabilize retries
playwright-021,automation/playwright/checkout-sca-fallback-visual-baseline,test(playwright): refresh visual baseline for checkout SCA fallback,automation;playwright,Playwright checkout SCA fallback needs to refresh visual baselines
playwright-022,automation/playwright/checkout-multi-currency-visual-baseline,test(playwright): refresh visual baseline for checkout multi currency routing,automation;playwright,Playwright checkout multi currency routing needs to refresh visual baselines
playwright-023,automation/playwright/analytics-consent-visual-baseline,test(playwright): refresh visual baseline for analytics consent banner,automation;playwright,Playwright analytics consent banner needs to refresh visual baselines
playwright-024,automation/playwright/workspace-role-switch-visual-baseline,test(playwright): refresh visual baseline for workspace role switch,automation;playwright,Playwright workspace role switch needs to refresh visual baselines
playwright-025,automation/playwright/billing-upgrade-visual-baseline,test(playwright): refresh visual baseline for billing upgrade flow,automation;playwright,Playwright billing upgrade flow needs to refresh visual baselines
playwright-026,automation/playwright/project-archive-visual-baseline,test(playwright): refresh visual baseline for project archive restore,automation;playwright,Playwright project archive restore needs to refresh visual baselines
playwright-027,automation/playwright/incident-handoff-visual-baseline,test(playwright): refresh visual baseline for incident handoff form,automation;playwright,Playwright incident handoff form needs to refresh visual baselines
playwright-028,automation/playwright/alert-threshold-visual-baseline,test(playwright): refresh visual baseline for alert threshold editor,automation;playwright,Playwright alert threshold editor needs to refresh visual baselines
playwright-029,automation/playwright/workspace-theme-visual-baseline,test(playwright): refresh visual baseline for workspace theme selector,automation;playwright,Playwright workspace theme selector needs to refresh visual baselines
