VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2024-01-01 00:15:27,2024-01-01 00:25:45,1,2.5,1,N,1,2,1,9.5,0.5,0.5,2.0,0.0,0.3,12.8,2.5
2,2024-01-01 01:05:12,2024-01-01 01:16:20,2,3.1,1,N,3,4,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,2.5
2,2024-01-01 02:30:00,2024-01-01 02:42:00,1,1.2,1,N,4,1,1,6.0,0.5,0.5,1.5,0.0,0.3,8.8,2.5
1,2024-01-02 10:10:10,2024-01-02 10:25:10,3,5.0,1,N,2,3,1,15.0,1.0,0.5,3.0,0.0,0.3,19.8,2.5
2,2024-01-02 11:45:00,2024-01-02 12:00:00,1,2.0,1,N,5,4,1,10.0,0.5,0.5,2.5,0.0,0.3,13.8,2.5
1,2024-01-03 08:00:00,2024-01-03 08:10:00,1,1.0,1,N,1,5,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,2.5
2,2024-01-03 09:30:00,2024-01-03 09:45:00,2,3.5,1,N,3,2,1,13.0,0.5,0.5,2.0,0.0,0.3,16.3,2.5
1,2024-01-04 14:15:00,2024-01-04 14:30:00,1,4.0,1,N,4,3,1,14.0,0.5,0.5,2.5,0.0,0.3,17.8,2.5
2,2024-01-04 15:00:00,2024-01-04 15:12:00,1,2.3,1,N,5,1,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,2.5
1,2024-01-05 18:20:00,2024-01-05 18:40:00,4,6.5,1,N,2,5,1,20.0,1.0,0.5,4.0,0.0,0.3,25.8,2.5
1,2024-01-06 07:15:00,2024-01-06 07:30:00,1,3.0,1,N,1,2,1,11.0,0.5,0.5,2.0,0.0,0.3,14.3,2.5
2,2024-01-06 12:00:00,2024-01-06 12:20:00,2,5.2,1,N,3,4,1,17.0,0.5,0.5,3.5,0.0,0.3,21.8,2.5
1,2024-01-07 09:10:00,2024-01-07 09:25:00,1,2.8,1,N,4,1,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,2.5
2,2024-01-07 20:45:00,2024-01-07 21:00:00,3,4.5,1,N,5,4,1,16.0,0.5,0.5,3.0,0.0,0.3,20.3,2.5
1,2024-01-08 06:30:00,2024-01-08 06:45:00,1,3.2,1,N,2,3,1,12.0,0.5,0.5,2.5,0.0,0.3,15.8,2.5
2,2024-01-08 13:15:00,2024-01-08 13:25:00,2,1.8,1,N,1,5,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,2.5
1,2024-01-09 17:50:00,2024-01-09 18:05:00,1,2.7,1,N,3,2,1,10.5,0.5,0.5,1.5,0.0,0.3,13.3,2.5
2,2024-01-09 22:00:00,2024-01-09 22:15:00,1,3.9,1,N,4,3,1,14.5,0.5,0.5,2.0,0.0,0.3,17.8,2.5
1,2024-01-10 11:05:00,2024-01-10 11:20:00,2,4.1,1,N,5,1,2,15.0,0.5,0.5,0.0,0.0,0.3,16.3,2.5
2,2024-01-10 23:30:00,2024-01-10 23:45:00,1,3.6,1,N,2,5,1,13.5,0.5,0.5,2.5,0.0,0.3,17.3,2.5
VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,tip_amount,total_amount
1,2024-01-01 00:15:27,2024-01-01 00:25:45,1,2.1,1,N,142,236,1,10.5,2.15,13.15
2,2024-01-01 01:05:13,2024-01-01 01:22:36,2,4.3,1,N,236,142,2,15.0,0,15.0
1,2024-01-02 14:18:00,2024-01-02 14:45:42,1,8.0,1,N,100,249,1,25.0,5.0,30.5
2,2024-01-03 09:12:33,2024-01-03 09:25:00,3,3.5,1,Y,249,100,1,12.5,2.5,15.5
1,2024-01-04 16:40:10,2024-01-04 16:50:20,1,1.2,1,N,142,142,1,7.0,1.5,9.0
2,2024-01-05 20:15:55,2024-01-05 20:35:05,4,6.5,1,N,236,237,2,20.0,0,20.0
1,2024-01-06 11:05:45,2024-01-06 11:25:15,2,5.0,1,N,237,236,1,18.0,3.0,22.0
2,2024-01-07 23:00:00,2024-01-07 23:20:30,1,7.2,1,N,100,237,1,22.5,4.0,27.0
1,2024-01-08 05:10:05,2024-01-08 05:25:25,1,3.3,1,N,237,100,2,11.0,0,11.0
2,2024-01-09 13:45:30,2024-01-09 13:55:40,1,1.8,1,N,236,142,1,8.5,1.75,10.5
